STATION,NAME,LATITUDE,LONGITUDE,ZIPCODE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,TSUN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
USW00064758,"ITHACA 13 E, NY US",42.4401,-76.2462,13053,374.3,6/1/2020,0,50,66,34,,,,,,,,,,,
USC00306747,"PORTLAND1 SW, NY US",42.3717,-79.4866,14769,246.3,6/1/2020,0,56,65,47,,,,,,,,,,,
USW00054780,"MONTAUK AIRPORT, NY US",41.07306,-71.92333,11954,2.1,6/1/2020,0,55.5,65,46,,,,,,,,,,,
USC00306774,"PORT JERVIS, NY US",41.3891,-74.6905,12771,176.8,6/1/2020,0,52.5,65,40,,,,,,,,,,,
USW00054773,"FULTON OSWEGO CO AIRPORT, NY US",43.34972,-76.38472,13069,144.8,6/1/2020,0,54,64,44,,,,,,,,,,,
USC00301211,"CARMEL 4 N, NY US",41.4725,-73.655,10512,207.3,6/1/2020,0,51,64,38,,,,,,,,,,,
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",42.10944,-77.99194,14895,647.4,6/1/2020,0,51,64,38,,,,,,,,,,,
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",43.23389,-75.41167,13440,158.2,6/1/2020,0,50,64,36,,,,,,,,,,,
USC00308577,"SYOSSET, NY US",40.8216,-73.4908,11791,80.8,6/1/2020,0,55.5,63,48,,,,,,,,,,,
USC00303025,"FRANKLINVILLE, NY US",42.32943,-78.46352,14737,481,6/1/2020,0,53.5,63,44,,,,,,,,,,,
USW00094790,"WATERTOWN AIRPORT, NY US",43.98867,-76.02623,13634,96.9,6/1/2020,0,48.5,63,34,,,,,,,,,,,
USC00300870,"BREWERTON LOCK 23, NY US",43.2386,-76.1964,13029,114.9,6/1/2020,0,52.5,62,43,,,,,,,,,,,
USC00306525,"PERRYSBURG, NY US",42.4647,-79.003,14129,368.8,6/1/2020,0,52,62,42,,,,,,,,,,,
USC00302610,"ELMIRA, NY US",42.0997,-76.8358,14905,288.6,6/1/2020,0,50,62,38,,,,,,,,,,,
USC00306314,"OSWEGO, NY US",43.44991,-76.53685,13126,98.8,6/1/2020,0,54.5,61,48,,,,,,,,,,,
USC00306047,"NORTH TONAWANDA, NY US",43.05734,-78.86171,14120,176.2,6/1/2020,0,53.5,61,46,,1,,,,,,,,,
USC00301752,"COOPERSTOWN, NY US",42.7166,-74.9266,13326,383.1,6/1/2020,0,49,61,37,,,,,,,,,,,
USC00309047,"WAVERLY, NY US",42.00193,-76.52497,14892,243.8,6/1/2020,0,49,61,37,,,,,,,,,,,
USC00301068,"BUSKIRK, NY US",42.9361,-73.43257,12028,152.1,6/1/2020,0,48,61,35,,,,,,,,,,,
USC00300937,"BROCKPORT, NY US",43.216,-77.9529,14420,151.8,6/1/2020,0,52.5,60,45,,,,,,,,,,,
USC00302197,"DUNKIRK, NY US",42.4718,-79.33371,14048,192.3,6/1/2020,0,51.5,60,43,,,,,,,,,,,
USC00301974,"DANSVILLE, NY US",42.56477,-77.71762,14437,201.2,6/1/2020,0,51,60,42,,,,,,,,,,,
USC00307520,"SCHOHARIE, NY US",42.665,-74.3036,12157,223.7,6/1/2020,0,50,60,40,,,,,,,,,,,
USC00304207,"JAMESTOWN 4 ENE, NY US",42.11,-79.1591,14733,381,6/1/2020,0,50,60,40,,,,,,,,,,,
USC00309389,"WHITEHALL, NY US",43.5575,-73.4011,12832,36.3,6/1/2020,0,49.5,60,39,,,,,,,,,,,
USC00307210,"ROCK HILL 3 SW, NY US",41.5916,-74.6143,12775,387.1,6/1/2020,0,47.5,60,35,,,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",42.33278,-75.22982,13775,352,6/1/2020,0,46,60,32,,,,,,,,,,,
USC00301152,"CANANDAIGUA 3 S, NY US",42.84505,-77.28071,14424,219.5,6/1/2020,0,52.5,59,46,,,,,,,,,,,
USC00300343,"AVON, NY US",42.9203,-77.7557,14414,166.1,6/1/2020,0,51,59,43,,,,,,,,,,,
USC00300321,"AUBURN, NY US",42.9327,-76.5447,13021,234.7,6/1/2020,0,51,59,43,,,,,,,,,,,
USC00300063,"ALCOVE DAM, NY US",42.4697,-73.9267,12046,185,6/1/2020,0,49.5,59,40,,,,,,,,,,,
USW00064776,"PLATTSBURGH INTERNATIONAL AIRPORT, NY US",44.65,-73.46667,12903,71.3,6/1/2020,0,49,59,39,,,,,,,,,,,
USC00306867,"PULASKI, NY US",43.5696,-76.1163,13142,121.6,6/1/2020,0,49,59,39,,,,,,,,,,,
USC00306538,"PERU 2 WSW, NY US",44.56551,-73.57042,12972,155.4,6/1/2020,0,48,59,37,,,,,,,,,,,
USC00300183,"ANGELICA, NY US",42.3108,-78.023,14709,449.6,6/1/2020,0,46,59,33,,,,,,,,,,,
