06/02/20,40.98849,-72.51034,12139,0,70,48
06/03/20,40.98849,-72.51034,12139,0.18,79,58
06/04/20,40.98849,-72.51034,12139,0,79,59
06/05/20,40.98849,-72.51034,12139,0.16,77,63
06/06/20,40.98849,-72.51034,12139,0.05,80,62
06/07/20,40.98849,-72.51034,12139,0,75,54
06/08/20,40.98849,-72.51034,12139,0,79,51
06/01/20,41.07306,-71.92333,12155,0,65,46
06/02/20,41.07306,-71.92333,12155,0,70,49
06/03/20,41.07306,-71.92333,12155,0.19,76,60
06/04/20,41.07306,-71.92333,12155,0,77,63
06/05/20,41.07306,-71.92333,12155,0.14,72,62
06/06/20,41.07306,-71.92333,12155,0.32,76,62
06/07/20,41.07306,-71.92333,12155,0,72,55
06/08/20,41.07306,-71.92333,12155,0,75,52
06/01/20,41.1321,-72.2584,12156,0,69,47
06/02/20,41.1321,-72.2584,12156,0,66,46
06/03/20,41.1321,-72.2584,12156,0,70,52
06/04/20,41.1321,-72.2584,12156,0.17,77,62
06/05/20,41.1321,-72.2584,12156,0.05,80,63
06/06/20,41.1321,-72.2584,12156,0.14,77,66
06/07/20,41.1321,-72.2584,12156,0.05,81,61
06/08/20,41.1321,-72.2584,12156,0,73,56
06/01/20,40.82167,-72.86889,12186,0,70,43
06/02/20,40.82167,-72.86889,12186,0.01,75,51
06/03/20,40.82167,-72.86889,12186,0.38,78,62
06/04/20,40.82167,-72.86889,12186,0,85,61
06/05/20,40.82167,-72.86889,12186,0.27,79,64
06/06/20,40.82167,-72.86889,12186,0.49,82,66
06/07/20,40.82167,-72.86889,12186,0,76,56
06/08/20,40.82167,-72.86889,12186,0,78,52
06/01/20,40.8656,-72.8643,12190,0,68,42
06/02/20,40.8656,-72.8643,12190,0,66,48
06/03/20,40.8656,-72.8643,12190,0.01,70,59
06/04/20,40.8656,-72.8643,12190,0.15,77,57
06/05/20,40.8656,-72.8643,12190,0.11,82,64
06/06/20,40.8656,-72.8643,12190,0.43,78,64
06/07/20,40.8656,-72.8643,12190,0,82,59
06/08/20,40.8656,-72.8643,12190,0,74,50
06/01/20,40.84361,-72.63222,12409,0,68,33
06/02/20,40.84361,-72.63222,12409,0,74,39
06/03/20,40.84361,-72.63222,12409,0.2,78,59
06/04/20,40.84361,-72.63222,12409,0,80,53
06/05/20,40.84361,-72.63222,12409,0.28,78,63
06/06/20,40.84361,-72.63222,12409,0.19,80,63
06/07/20,40.84361,-72.63222,12409,0,76,47
06/08/20,40.84361,-72.63222,12409,0,77,41
06/01/20,42.9361,-73.43257,12424,0,61,35
06/02/20,42.9361,-73.43257,12424,0.02,63,40
06/03/20,42.9361,-73.43257,12424,0,69,47
06/04/20,42.9361,-73.43257,12424,0,79,55
06/05/20,42.9361,-73.43257,12424,0,85,62
06/06/20,42.9361,-73.43257,12424,0,85,64
06/07/20,42.9361,-73.43257,12424,0,85,48
06/08/20,42.9361,-73.43257,12424,0,71,41
06/01/20,42.66717,-74.44239,12463,0,58,30
06/02/20,42.66717,-74.44239,12463,0,60,32
06/03/20,42.66717,-74.44239,12463,0.07,63,44
06/04/20,42.66717,-74.44239,12463,0,75,52
06/05/20,42.66717,-74.44239,12463,0.04,81,48
06/06/20,42.66717,-74.44239,12463,0,82,53
06/07/20,42.66717,-74.44239,12463,0,79,48
06/08/20,42.66717,-74.44239,12463,0,70,35
06/01/20,42.4697,-73.9267,12464,0,59,40
06/02/20,42.4697,-73.9267,12464,0.01,62,42
06/03/20,42.4697,-73.9267,12464,0.06,65,51
06/04/20,42.4697,-73.9267,12464,0,78,54
06/05/20,42.4697,-73.9267,12464,0,84,62
06/06/20,42.4697,-73.9267,12464,0,82,63
06/07/20,42.4697,-73.9267,12464,0,81,56
06/08/20,42.4697,-73.9267,12464,0,70,51
06/01/20,42.7672,-74.1711,12502,0,66,38
06/02/20,42.7672,-74.1711,12502,0,68,42
06/03/20,42.7672,-74.1711,12502,0,71,52
06/04/20,42.7672,-74.1711,12502,0,80,54
06/05/20,42.7672,-74.1711,12502,0,87,59
06/06/20,42.7672,-74.1711,12502,0.32,88,63
06/07/20,42.7672,-74.1711,12502,0,85,52
06/08/20,42.7672,-74.1711,12502,0,74,49
06/01/20,43.115,-74.4236,12534,0,53,34
06/02/20,43.115,-74.4236,12534,0.01,56,38
06/03/20,43.115,-74.4236,12534,0.04,62,46
06/04/20,43.115,-74.4236,12534,0,68,53
06/05/20,43.115,-74.4236,12534,0.02,80,57
06/06/20,43.115,-74.4236,12534,0.04,81,62
06/07/20,43.115,-74.4236,12534,0,77,48
06/08/20,43.115,-74.4236,12534,0,67,46
06/01/20,41.06236,-73.70463,12546,0,68,42
06/02/20,41.06236,-73.70463,12546,0,71,52
06/03/20,41.06236,-73.70463,12546,0.55,79,59
06/04/20,41.06236,-73.70463,12546,0,84,62
06/05/20,41.06236,-73.70463,12546,0.51,75,66
06/06/20,41.06236,-73.70463,12546,0.01,86,61
06/07/20,41.06236,-73.70463,12546,0,74,55
